Address,value
20007391408,1100000
20005388614,200000
20207409920,1000000
20215411908,500000
20219413520,2200000
20210410717,8000000
20314423117,3500000
20322425911,1200000
20303417509,1500000
20410435808,3000000
20408433814,1600000
20404431414,1500000
20405431823,2000000
20417439407,3000000
20505444020,1000000
20510448323,1200000
20503442320,2500000
20502441114,1500000
20502441113,2000000
20503442711,3000000
20502441120,2000000
20502441123,3000000
20502441107,2000000
20502441108,2000000
20503442708,3000000
20608455607,2700000
20608455620,1000000
20602452020,1000000
20604453211,600000
20604453223,1000000
20612458815,2000000
20712470523,2000000
20605454023,1000000
20607455208,3200000
20603452417,2000000
20603452412,2000000
20610457214,1000000
20719474117,1300000
20724474920,1500000
20703464111,2000000
20711469717,2000000
20707466911,3000000
20707466914,2500000
20819488309,1500000
20813485508,2100000
20813485520,2000000
20806481523,6000000
20813485920,2000000
20809483514,1500000
20808483108,3000000
20801477911,1000000
20823489907,2000000
20808483120,3000000
20927502220,1500000
20916495407,2500000
20932501813,1500000
20916496613,2500000
20917497411,2700000
20917497414,1800000
20917497417,3000000
21014510620,1000000
21008507011,1500000
21012509810,1500000
21009508214,2200000
21009508208,2000000
21009508220,2000000
21009508217,2000000
21009508223,2000000
21002505023,2000000
21009508211,2000000
21106519911,1200000
21204530423,2400000
21204530420,3000000
21210534614,2500000
21303537920,1500000
21304539511,2000000
21304539520,3000000
21306541514,1000000
21306541908,3000000
21401545508,1000000
21407551514,1500000
21505558823,1500000
21504558020,1800000
21501554417,1000000
21603565911,500000
21601563920,4000000
21601564314,3500000
21601564317,2000000
21606569111,2000000
21606569123,2000000
21602565517,1500000
21702575817,1000000
21701573814,4500000
21701573414,5000000
21704579008,6000000
21706580223,2800000
21701574214,2000000
21701573417,5000000
21701573011,1500000
21704578608,500000
21701573423,4000000
21706580220,2000000
21809590120,3000000
21810590920,3500000
21809590111,8000000
21807588517,3000000
21807588923,2500000
21807588511,5000000
21802583208,1500000
21810591308,4000000
21802583611,2000000
21802583620,3000000
21806587611,8000000
21908598218,1500000
22002602223,600000
22002601816,2000000
22005605415,1800000
22003603814,2000000
22105613720,3500000
22105614514,3000000
22103611308,1000000
22103611320,1500000
22105614511,1500000
22106615317,3500000
22111619823,1500000
22106615723,700000
22105614923,4000000
22105614911,1350000
22204623111,2500000
22207627114,1500000
22209629123,5000000
22303633320,3000000
22303633323,4000000
22319639007,1500000
22319639020,1000000
22303632912,3000000
22303632913,200000
22301631611,2000000
22301631617,2000000
22301631623,2000000
22302632015,3500000
22302632020,3000000
22302632011,500000
22303632508,2500000
22303632511,3000000
22309634914,4000000
22309634923,5000000
22313636920,2500000
22313636923,2500000
22406645717,400000
22406645720,400000
22406645711,400000
22406645714,1000000
22406644923,2000000
22501651723,3000000
22501651308,3800000
22501651313,100000
22501651320,10000
22501648513,700000
22605662808,3000000
22601655223,2500000
22601655220,2500000
22705667914,3400000
22714676315,1000000
22703666214,1500000
22705667908,2700000
22711673908,1000000
22711673914,500000
22802679623,2000000
22802679608,1000000
22802679611,1500000
22803680423,400000
22801677220,2200000
22901689320,1500000
22901689317,1900000
22907695714,1400000
22902690523,500000
22905693708,600000
22902690123,500000
22911698911,650000
23006709116,5500000
23002702311,500000
23002703911,3000000
23003706714,300000
23002703920,2500000
23002702711,2000000
23006709515,5000000
23006708315,5000000
23006708312,3500000
23003705523,1300000
23001700723,5500000
23001701120,2000000
23002702708,700000
23003705923,1300000
23006709518,6000000
20007392707,4000000
20001385520,200000
20010393516,4000000
20102398420,1500000
20103398909,6000000
20103398911,5000000
20111403714,1000000
20105400208,3500000
20113404823,3000000
20215412014,6000000
20218412814,3000000
20201406023,7000000
20207410017,1500000
20204408020,2500000
20306419208,1800000
20314423209,2200000
20316423612,500000
20404431508,2500000
20404431517,3500000
20407433523,2800000
20507445620,1500000
20509447223,1000000
20502441207,2500000
20502441214,2000000
20502441223,1700000
20511448814,2000000
20502441220,3000000
20616460515,3000000
20607454917,2000000
20706466208,2000000
20707467410,1000000
20702463814,2500000
20702463813,2500000
20706466217,2000000
20712470623,2000000
20711469820,700000
20713471408,3000000
20939504308,2300000
20930500711,2000000
20913493508,1500000
20928492720,1700000
20932501917,3000000
20923500320,900000
21014510717,3000000
21008507514,1000000
21008507523,3000000
21002505108,5500000
21017511508,1000000
21115526411,2000000
21115526420,3000000
21209533923,1000000
21209533917,2500000
21204531020,1000000
21306542014,2500000
21307543208,2500000
21308544020,1500000
21404547623,1500000
21501554108,500000
21502555307,2000000
21502555710,3000000
21502555720,4000000
21503556917,2700000
21505558520,1000000
21605568408,2500000
21604567223,2000000
21610572017,2000000
21602564811,1800000
21606569223,3000000
21606569211,2000000
21701573920,3000000
21703577514,1550000
21701573923,2500000
21703577117,1900000
21704577923,1800000
21806588114,1000000
21802584114,2000000
21802584108,3000000
21802583720,3000000
21806588117,2000000
21806587720,5000000
21802583323,1500000
21810591414,1500000
21803585720,1500000
21806587723,4000000
21809589817,5000000
21809589820,4000000
21908597920,2700000
22003603520,1500000
22007607107,400000
22006606323,1000000
22004605120,2500000
22004605123,1500000
22001600720,2500000
22105614617,5000000
22103611823,2600000
22105614213,2000000
22105614220,1200000
22101609420,2300000
22105613816,2800000
22104612623,2500000
22104612211,2500000
22111619509,3000000
22105615016,3000000
22208627608,5000000
22205625223,2000000
22202620017,500000
22208628020,4500000
22301631711,2000000
22321639511,1500000
22321639514,4000000
22303633008,1000000
22309635018,2500000
22309635020,2000000
22309634623,3500000
22303633020,6000000
22309634614,2000000
22313636614,8000000
22313636612,8000000
22313636608,8000000
22313636617,8000000
22313636620,8000000
22313636623,8000000
22303633411,4500000
22319638720,1000000
22303633408,5000000
22306634214,3000000
22310635811,2500000
22313637011,1000000
22314637920,3500000
22404643414,1500000
22404643417,1000000
22407646220,2000000
22403641818,2000000
22501650617,500000
22501653020,100000
22501650610,500000
22501650611,3000000
22501649420,2500000
22501651412,2000000
22605662908,2000000
22601655708,3000000
22602657308,1500000
22714676023,1500000
22704667111,1000000
22713675223,2000000
22707670411,2000000
22802678920,3500000
22802678913,3000000
22802678914,2000000
22804681708,2000000
22802679717,2000000
22901689408,2200000
22902690623,1000000
22905694223,1000000
23003705614,5000000
23003705608,3000000
23002702420,4000000
23002702423,1400000
23006708415,4000000
23005707207,3000000
23006708820,10000000
23002704014,10000000
23002704414,2200000
23003706808,2000000
23001700423,5200000
23001700420,5800000
23003706420,2500000
23001700417,6100000
23002703620,3000000
23003705617,5200000
23003705620,3900000
23003705623,4800000
23003706423,1800000
23005707216,2000000
23006708015,5000000
23002702408,3500000
23006709210,10000000
20005388808,2000000
20004387614,500000
20001384408,2500000
20001385608,3000000
20009392813,4500000
20001385617,4500000
20006389623,3000000
20001384811,4300000
20001384823,4000000
20010393614,2500000
20010393620,2500000
20110403020,5000000
20112404411,1000000
20107401717,5000000
20107401718,5000000
20107401720,3000000
20210410923,3000000
20201406111,3000000
20225415723,2000000
20220413720,2500000
20202407717,4500000
20220413723,4000000
20210410517,2000000
20210410523,3000000
20206408911,7000000
20206408923,4000000
20306419311,2000000
20314422910,2500000
20306419317,2500000
20303417309,3000000
20325426920,1500000
20407433623,3500000
20407433608,1000000
20407433617,3500000
20407433620,2500000
20401428808,3000000
20509446909,4500000
20509446907,3000000
20501440109,2500000
20509446920,4500000
20503442912,2500000
20503442920,2500000
20507445315,3000000
20503442511,2500000
20503442923,2500000
20509446917,2000000
20602452209,2000000
20602452217,2000000
20604453423,3500000
20610457023,3000000
20603453023,2000000
20612458217,1000000
20705465508,7000000
20714472311,1500000
20706466317,2000000
20714472317,1500000
20714472320,2300000
20719473914,2500000
20823489714,1500000
20807482508,5800000
20807482511,5000000
20803479307,2000000
20932501623,5000000
20916496423,3500000
20916495211,2000000
20930500808,2000000
20916495617,3000000
20917496811,1500000
20930500816,3000000
20905490812,1500000
21014510808,3000000
21005506012,3000000
21019512823,3000000
21002504808,1500000
21002504812,500000
21009508417,2500000
21002505208,4000000
21002505211,4000000
21002505223,3000000
21002505214,5000000
21005506417,2300000
21105519320,5000000
21111523711,500000
21308544110,2000000
21308544118,2500000
21308544114,3000000
21308543715,1500000
21403547323,1000000
21504557414,1000000
21502555408,1000000
21503556608,1800000
21502554618,800000
21610572120,2000000
21610572111,500000
21602564920,2000000
21607570120,1500000
21607570108,1200000
21601564511,1500000
21605568512,3000000
21607570523,3000000
21702575223,3000000
21703576823,1300000
21701574420,5000000
21701574423,4000000
21701573220,3000000
21702576417,750000
21704578823,1500000
21701574023,3000000
21705580008,700000
21810590720,5000000
21809589908,7000000
21810590709,6500000
21810590712,5000000
21807588723,5000000
21802584213,2700000
21806587814,4000000
21809590311,6000000
21809590320,5000000
21904594808,4000000
21908598423,2000000
21908598411,2000000
22004604823,3000000
22003603607,2800000
22003603620,3000000
22003602414,1000000
22006606017,2500000
22002601623,1850000
22007607217,1200000
22004604808,2000000
22003602823,1500000
22001600808,1000000
22002601609,3500000
22105613508,500000
22105613923,5000000
22111619223,3000000
22104612314,2000000
22101609520,3500000
22109618715,2000000
22104612323,3500000
22205624111,1200000
22211630108,2000000
22207627308,2000000
22309635117,5500000
22309635120,5000000
22309635123,8000000
22321639217,2000000
22321639220,2000000
22320632316,4000000
22313636710,6800000
22313636723,6800000
22303632714,5000000
22303632709,4500000
22303632723,7500000
22303633520,1000000
22309634711,1500000
22303633120,7000000
22303633111,13000000
22313637123,4000000
22321639617,3500000
22321639623,3000000
22319638820,4000000
22319638818,1500000
22312635908,2600000
22312635914,2500000
22312635920,1000000
22312635923,1000000
22312635911,4500000
22310635520,4000000
22301631414,4500000
22301631815,400000
22406644715,2000000
22406645123,4000000
22403641908,2500000
22406645508,3000000
22501651514,200000
22501652320,4000000
22501652711,5000000
22501648323,800000
22501652314,1500000
22501652323,2500000
22501648716,120000
22501651511,2500000
22605662617,125000
22605662623,4500000
22605662609,50000
22605662616,1250000
22605662610,1000000
22603659008,3000000
22605663412,2400000
22601655809,3000000
22601655817,4000000
22601655823,2500000
22706668914,3000000
22705667611,2500000
22705667614,3000000
22705667616,3000000
22705668109,1500000
22706670108,4000000
22706670123,4000000
22711673723,1000000
22802679423,2000000
22808687408,2000000
22802678211,900000
22804681820,1300000
22805683823,1500000
22808687020,1000000
22802679008,2500000
22805683820,2000000
22802678620,5500000
22911699511,2500000
22901688311,1500000
22906695123,500000
22905693920,1000000
23001700508,4000000
23001700511,6000000
23005707310,3000000
23006708114,5000000
23002704509,1500000
23002704523,2000000
23002704120,3000000
23002704123,3000000
23003705307,2000000
23003705320,1500000
23006708911,7000000
23002704108,3000000
23002704109,2600000
23003706114,3000000
23003706507,4000000
23002702520,4000000
23002703723,5000000
23003706917,3000000
23006709308,12000000
23006709711,4000000
23006709716,4500000
23006708113,1500000
20006389316,500000
20007390923,3000000
20001384909,4000000
20001384920,4000000
20006389717,200000
20003386920,1500000
20115405417,1200000
20216412214,4400000
20224415414,4000000
20210411008,4000000
20220413823,4500000
20221414217,1500000
20312421814,1500000
20312421820,1000000
20405431720,4200000
20401428508,4500000
20403430120,4000000
20406432517,3000000
20509447008,4000000
20503442614,3000000
20503442617,3500000
20501440211,1800000
20501440223,2500000
20507445420,3000000
20511448616,1000000
20511448620,3000000
20507445408,1000000
20503443023,2500000
20621461917,1500000
20625462723,2000000
20602451920,1000000
20602451914,1500000
20608455913,2000000
20715472823,2500000
20708468020,2000000
20709468411,2000000
20729477220,2500000
20707467210,3000000
20720474417,3000000
20817487820,700000
20806481423,4500000
20808483413,2500000
20808483007,5500000
20808483015,4000000
20916496111,7500000
20916496120,3800000
20915494923,1000000
20916495717,3000000
20932501720,2000000
20904490113,3500000
20916496508,2500000
20932501723,5000000
21017511713,500000
21002504914,1850000
21008507723,3000000
21017511320,3000000
21022514518,5000000
21104519008,1000000
21104519020,1000000
21209534123,2000000
21205531223,1500000
21203529820,2800000
21306541823,1000000
21302536207,2000000
21403547408,4000000
21405549820,1500000
21503556320,1000000
21503556714,2500000
21507560323,3000000
21508560717,1000000
21502554720,1000000
21502554723,1000000
21502554717,2500000
21505558714,4000000
21606569023,2000000
21605568620,2500000
21608570620,2000000
21608570623,2500000
21701574508,1800000
21701574511,2200000
21701573720,10000000
21701574123,7000000
21701573717,2300000
21701574114,5000000
21810591216,5500000
21805587112,3000000
21809590023,9000000
21810590823,3000000
22002601713,4000000
22002601711,2500000
22004604911,4300000
22002602107,3000000
22006606523,800000
22001601323,5000000
22003602520,2200000
22006606514,1000000
22001601320,5000000
22102610017,4000000
22106615608,3000000
22105614410,4500000
22205624611,2000000
22209628215,500000
22206625420,4000000
22202620213,5000000
22202620208,5000000
22210629820,2000000
22312636011,4500000
22312636007,1500000
22313636818,4300000
22313637208,1500000
22313637217,500000
22313637223,1500000
22312636417,2000000
22319638923,6000000
22310635611,3500000
22302632111,4000000
22309635223,5000000
22317638109,5000000
22306634023,6000000
22320632415,4000000
22301631511,5000000
22301631514,3000000
22301631517,2000000
22301631523,5000000
22303633209,5000000
22303633212,5000000
22303633216,5000000
22303633614,3500000
22309634812,5000000
22310635617,2500000
22317638111,4000000
22406644820,2000000
22501654411,4000000
22501652020,5000000
22501650420,100000
22501654023,3400000
22604661914,1700000
22604661508,2500000
22603659908,4000000
22706669008,1800000
22713675417,3500000
22709672611,1000000
22703666507,4500000
22703666520,5000000
22703666523,4000000
22711673810,2000000
22804681508,1700000
22802678323,1500000
22803680320,800000
22805683923,500000
22802678723,2500000
22902690410,1200000
22903692014,1200000
22903692023,1500000
22904692820,800000
22911699223,1500000
22908696408,1800000
22911699620,2000000
23006708223,3000000
23006708213,6000000
23001700608,5500000
23001700620,5000000
23002703408,4000000
23002701820,3000000
23002701823,1000000
23003707020,2000000
23003705820,2000000
23002704217,3500000
23002704214,3000000
23006709014,10000000
20001384620,6500000
20006390219,2000000
20007391415,2500000
20001384226,6000000
20010393814,1500000
20001385018,6500000
20102398826,5000000
20206409126,4900000
20207409920,2000000
20210410717,10000000
20210410729,6000000
20210410720,2700000
20205408729,3000000
20205408326,16000000
20208410326,5000000
20325427117,1000000
20410435817,6000000
20405431823,3500000
20401428629,7000000
20417439420,3000000
20403431026,2000000
20414437817,2000000
20404431426,3500000
20417439417,4000000
20502441126,2500000
20502441114,3000000
20502441113,3000000
20502441129,3000000
20502441120,2000000
20604453219,1500000
20612458820,2000000
20502441123,3000000
20511448726,2000000
20511448729,3500000
20505444021,3000000
20503442320,2500000
20510448323,1700000
20610457214,2000000
20610457229,1500000
20724474929,3500000
20706466126,2500000
20705465326,2000000
20705465726,3000000
20707466929,5000000
20706466129,1500000
20711469726,2500000
20729476929,1500000
20712470529,250000
20712470523,4500000
20716473329,3000000
20711469717,2500000
20808483120,3500000
20808483126,3000000
20808483129,4000000
20813485520,3000000
20809483515,2000000
20813485920,2500000
20806481523,7000000
20927502220,1500000
20916496229,3000000
20916495422,1000000
20931501429,1500000
20916495823,2000000
20913493826,3700000
20932501826,2500000
20916496629,2500000
20917497416,1800000
20917497426,4000000
20917497429,4000000
21011509429,2000000
21012509820,1000000
21008507829,2700000
21001514226,2000000
21009508226,2000000
21007513415,800000
21009508229,2500000
21009508221,2500000
21009508216,2500000
21009508214,2500000
21009508224,2500000
21010509017,4000000
21006515426,4000000
21014510623,500000
21103518313,800000
21204530420,5000000
21204530424,3000000
21204530429,3000000
21204530417,3000000
21209533729,1800000
21301535129,500000
21306541514,1500000
21308544323,2000000
21305540714,1300000
21302536326,2000000
21304538729,1000000
21304539515,5000000
21407551514,2000000
21405549926,2500000
21505558823,1500000
21503556823,2000000
21501554429,500000
21504558020,1000000
21501554413,3000000
21503556414,4000000
21605568329,2500000
21601564317,5000000
21601564329,5000000
21601564314,5000000
21606569123,2000000
21707581426,1300000
21701573414,7500000
21701573826,8000000
21701573814,5500000
21701574214,3000000
21701574626,3000000
21701573417,500000
21704578629,2000000
21704579026,1500000
21704579029,2000000
21706580223,2500000
21706580220,2000000
21804586829,2000000
21804586429,4000000
21806587626,6500000
21804586826,2000000
21801582821,2000000
21806587629,6000000
21809590120,3000000
21810590926,5000000
21810590924,5000000
21802583619,5000000
21807588517,3000000
21809590129,5000000
21806588029,3000000
21908598213,2500000
22004605026,3000000
22008608629,2500000
22002602219,1000000
22007607429,2000000
22001600229,3000000
22001601417,9000000
22004605029,8000000
22005605413,4000000
22003602614,2000000
22003603814,1500000
22001600216,4000000
22105613720,2500000
22105613726,4500000
22105614923,3000000
22106615317,2000000
22111619823,3500000
22208627929,2500000
22303632918,3500000
22303632926,8000000
22313636923,3000000
22301631629,2000000
22312636529,3500000
22301631617,5000000
22309634914,4000000
22302632019,3000000
22306633720,1500000
22303632529,4000000
22319639026,4500000
22319639029,4000000
22312636517,4000000
22317638629,1500000
22309634926,6000000
22316635320,50000
22316635329,4000000
22301631623,5000000
22301631626,4000000
22406645714,1800000
22406645718,1800000
22406644923,3000000
22501654526,4000000
22501649321,10000
22501651313,100000
22501651320,2000000
22501651329,1000000
22501650526,5000000
22501654126,3500000
22501651326,1200000
22501651723,3000000
22601655223,2500000
22601655220,4000000
22714676315,1200000
22711673914,1000000
22801677220,2400000
22803680423,1000000
22907695714,3000000
22902690523,800000
22903691326,500000
22901689317,2500000
22902690123,1000000
23002703921,2500000
23002703923,8500000
23003706715,4000000
23005707120,15000000
23001701123,4000000
23003706714,500000
23006709126,3000000
23002702329,5000000
23006709513,10000000
23001700723,7000000
23005707926,3000000
20005388726,5000000
20005388729,4000000
20002386313,1700000
20001383916,3000000
20001383923,10000000
20007391920,4000000
20009393129,4000000
20009393126,4000000
20001384323,4500000
20012395926,800000
20102398420,2000000
20103398926,4000000
20111403718,3000000
20113404823,5000000
20103398929,5500000
20201406023,8000000
20215412026,5000000
20205408829,6500000
20218412814,3000000
20321425626,3000000
20311421220,3000000
20408434326,2500000
20407433529,6000000
20502441214,3500000
20507445620,4000000
20503442829,5000000
20509447222,1000000
20610456929,2000000
20607454917,1500000
20607454923,3000000
20616460515,3000000
20711469821,1200000
20702463814,2500000
20707467417,2000000
20707467429,5000000
20707467414,500000
20701473414,6000000
20715472615,3000000
20712470622,4000000
20706466217,3500000
20916496320,5500000
20916495917,5000000
20916495529,4500000
20923500320,1500000
20937502729,3000000
20932501918,2000000
20929501126,2000000
20933503123,5000000
20920499129,1000000
21011509526,5000000
21021506729,1500000
21013514723,3000000
21004515114,3200000
21015511920,4000000
21014510717,6000000
21008507526,5000000
21008507514,2000000
21115526420,2500000
21110523214,1500000
21303538020,3000000
21302536826,3500000
21308543618,1000000
21304538813,2000000
21305540026,1200000
21304539217,3000000
21302536029,3500000
21304539623,8000000
21304539620,2000000
21404547623,1500000
21407552026,8500000
21403547226,1000000
21508560520,2500000
21502555729,2000000
21503556917,2500000
21505558520,2000000
21502555320,2000000
21604567223,2000000
21605568417,3700000
21604567629,3000000
21604567626,3000000
21604568029,3000000
21701573926,5500000
21703577117,2000000
21701573920,5000000
21701573923,2500000
21701573529,6000000
21703577514,2500000
21703577529,2800000
21704577923,2000000
